"Symbol","US Trading Venue","Trading Date","OTC Tier","Caveat Emptor","Security Type","Security Class","Security Name","Country of Domicile","Company Name"
"CRXM","OTC Link","27/10/2015","OTC Pink Limited","N","Common Stock","","TAXUS CARDIUM PHARMS","USA","Taxus Cardium Pharmaceuticals Group, Inc."
"CRYO","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","AMERICAN CRYOSTEM CORP","USA","American Cryostem Corp."
"CRZBF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","COMMERZBANK AG ORD NEW","Germany","Commerzbank AG"
"CRZBY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","COMMERZBANK JUNGE ADR NEW","Germany","Commerzbank AG"
"CRZY","OTC Link","27/10/2015","OTC Pink Current","N","Common Stock","","CRAZY WOMAN CREEK BANCORP","USA","Crazy Woman Creek Bancorp Inc."
"CSAX","OTC Link/BB","27/10/2015","OTCQB","N","Common Stock","","CSA HOLDINGS INC","USA","CSA Holdings Inc."
"CSAY","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","CHINA SHESAYS MED COSTMLG","China","China SheSays Medical Cosmetology Inc."
"CSBB","OTC Link/BB","27/10/2015","OTC Pink Current","N","Common Stock","","CSB BANCORP INC OH","USA","CSB Bancorp, Inc."
"CSBI","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","CAROLL SHELBY INTL INC","USA","Carroll Shelby International, Inc."
"CSBTF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","CYTOS BIOTECH AG ORD","Switzerland","Cytos Biotechnology AG"
"CSCE","OTC Link","27/10/2015","OTC Pink Limited","N","Common Stock","","CASCADE ENERGY INC","USA","Cascade Energy, Inc."
"CSCGY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","CHINA SHANSHUI CE UNS/ADR","China","China Shanshui Cement Group Ltd."
"CSCMY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","COSCO CORP LTD S/ADR","Singapore","Cosco Corp. (Singapore) Limited"
"CSDT","OTC Link","27/10/2015","OTC Pink No Information","N","Common Stock","","CASCADE TECHNOLOGIES CORP","USA","Cascade Technologies Corp."
"CSDXF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","CHINA SHIPPING DEV CO","China","China Shipping Development Co. Ltd."
"CSDXY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","CHINA SHPPNG DEV S/ADR","China","China Shipping Development Co. Ltd."
"CSEHY","OTC Link","27/10/2015","OTC Pink Current","N","American Depository Receipts","","CHINA SOLAR ENERGY SP/ADR","China","China Solar Energy Holdings, Ltd."
"CSEI","OTC Link","27/10/2015","OTCQB","N","Common Stock","","RECEIVABLE ACQTN&MGMTCORP","USA","Receivable Acquisition & Management Corp."
"CSFD","OTC Link","27/10/2015","OTC Pink Limited","N","Common Stock","","COASTAL FOODS INC","USA","Coastal Foods, Inc."
"CSFFF","OTC Link","27/10/2015","OTC Pink Current","N","Ordinary Shares","","CAPSTONE MINING CORP","Canada","Capstone Mining Corp."
